id,name,kananame,category_id,prefectures_id,address,official_website
89,竹島水族館,タケシマスイゾクカン,2,23,愛知県蒲郡市竹島町1-6,https://www.city.gamagori.lg.jp/site/takesui/
90,鳥羽水族館,トバスイゾクカン,2,24,三重県鳥羽市鳥羽3-3-6,https://www.aquarium.co.jp/
91,志摩マリンランド,シママリンランド,2,24,三重県志摩市阿児町神明723-1,https://www.kintetsu.co.jp/leisure/shimamarine/
92,伊勢シーパラダイス,イセシーパラダイス,2,24,三重県伊勢市二見町江580,https://ise-seaparadise.com/
93,滋賀県立 琵琶湖博物館,シガケンリツ ビワコハクブツカン,2,25,滋賀県草津市下物町1091,https://www.biwahaku.jp/
94,京都市動物園,キョウトシドウブツエン,1,26,京都府京都市左京区岡崎法勝寺町,http://www5.city.kyoto.jp/zoo/
95,宮津エネルギー研究所 丹後魚っ知館,ミヤツエネルギーケンキュウジョ タンゴウオッチカン,2,26,京都府宮津市小田宿野1001,https://www.kepco.co.jp/corporate/profile/community/pr/miyazu/aquarium/index.html
96,京都水族館,キョウトスイゾクカン,2,26,京都府京都市下京区観喜寺町35-1,https://www.kyoto-aquarium.com/index.html
97,天王寺動物園,テンノウジドウブツエン,1,27,大阪府天王寺区茶臼山町1-108,https://www.city.osaka.lg.jp/contents/wdu170/tennojizoo/
98,五月山動物園,サツキヤマドウブツエン,1,27,大阪府池田市綾羽2丁目5-33,http://www.satsukiyamazoo.com/
99,海遊館,カイユウカン,2,27,大阪府大阪市港区海岸通1-1-10,https://www.kaiyukan.com/index.html
100,NIFREL,ニフレル,2,27,大阪府吹田市千里万博公園2-1,https://www.nifrel.jp/
101,神戸市立 王子動物園,コウベシリツ オウジドウブツエン,1,28,兵庫県神戸市灘区王子町3-1,http://www.kobe-ojizoo.jp/
102,神戸どうぶつ王国,コウベドウブツオウコク,1,28,兵庫県神戸市中央区港島南町7-1-9,https://www.kobe-oukoku.com/
103,姫路市立動物園,ヒメジシリツドウブツエン,1,28,兵庫県姫路市本町68,https://www.city.himeji.lg.jp/dobutuen/
104,姫路セントラルパーク,ヒメジセントラルパーク,1,28,兵庫県姫路市豊富町神谷1434,https://www.central-park.co.jp/safari/
105,淡路ファームパーク,アワジファームパーク,1,28,兵庫県南あわじ市八木養宜上1401,http://www.england-hill.com/
106,神戸市立 須磨海浜水族園,コウベシリツ スマカイヒンスイゾクエン,2,28,兵庫県神戸市須磨区若宮町1-3-5,https://kobe-sumasui.jp/
107,城崎マリンワールド,キノサキマリンワールド,2,28,兵庫県豊岡市瀬戸1090,http://marineworld.hiyoriyama.co.jp/
108,姫路市立水族館,ヒメジシリツスイゾクカン,2,28,兵庫県姫路市西延末440,https://www.city.himeji.lg.jp//aqua/
109,和歌山城公園 動物園,ワカヤマジョウコウエン ドウブツエン,1,30,和歌山県和歌山市1-3,http://wakayamajo.jp/animal/index.html
110,アドベンチャーワールド,アドベンチャーワールド,1,30,和歌山県西牟婁郡白浜町堅田2399,https://www.aws-s.com/
111,串本海中公園,クシモトカイチュウコウエン,2,30,和歌山県東牟婁郡串本町有田1157,http://www.kushimoto.co.jp/
112,太地町立 くじらの博物館,タイジチョウリツ クジラノハクブツカン,2,30,和歌山県東牟婁郡太地町太地2934-2,http://www.kujirakan.jp/
113,島根県立 しまね海洋館,シマネケンリツ シマネカイヨウカン,2,32,島根県浜田市久代町1117-2,https://aquas.or.jp/
114,池田動物園,イケダドウブツエン,1,33,岡山県岡山市北区京山2-5-1,http://www.urban.ne.jp/home/ikedazoo/
115,市立 玉野海洋博物館,シリツ タマノカイヨウハクブツカン,2,33,岡山県玉野市渋川2-6-1,https://www.city.tamano.lg.jp/site/kaihaku/
116,広島市 安佐動物公園,ヒロシマシ アサドウブツコウエン,1,34,広島県広島市安佐北区安佐町大字動物園,http://www.asazoo.jp/
117,福山市立 動物園,フクヤマシリツ ドウブツエン,1,34,広島県福山市芦田町福田276-1,http://www.fukuyamazoo.jp/index.php
118,みやじマリン 宮島水族館,ミヤジマリン ミヤジマスイゾクカン,2,34,広島県廿日市市宮島町10-3,http://www.miyajima-aqua.jp/
119,周南市 徳山動物園,シュウナンシ トクヤマドウブツエン,1,35,山口県周南市大字徳山5846,http://www.city.shunan.lg.jp/site/zoo/
120,秋吉台自然動物公園 サファリランド,アキヨシダイシゼンドウブツコウエン サファリランド,1,35,山口県美祢市美東町赤1212,http://www.safariland.jp/index.shtml
121,ときわ動物園,トキワドウブツエン,1,35,山口県宇部市則貞3-4-1,https://www.tokiwapark.jp/zoo/
122,市立しものせき水族館 海響館,シリツシモノセキスイゾクカン カイキョウカン,2,35,山口県下関市あるかぽーと6-1,http://www.kaikyokan.com/
123,とくしま動物園 北島建設の森,トクシマドウブツエン キタジマケンセツノモリ,1,36,徳島県徳島市渋野町入道22-1,http://www.city.tokushima.tokushima.jp/zoo/index.html
124,愛媛県立 とべ動物園,エヒメケンリツ トベドウブツエン,1,38,愛媛県伊予郡砥部町上原町240,https://www.tobezoo.com/
125,虹の森公園 おさかな館,ニジノモリコウエン オサカナカン,2,38,愛媛県北宇和郡松野町延野々1510-1,https://morinokuni.or.jp/publics/index/27/
126,わんぱーくこうち アニマルランド,ワンパークコウチ アニマルランド,1,39,高知県高知市桟橋通6-9-1,https://www.city.kochi.kochi.jp/deeps/17/1712/animal/index.htm
127,高知県立 のいち動物公園,コウチケンリツ ノイチドウブツコウエン,1,39,高知県香南市野市町大谷738,http://www.noichizoo.or.jp/
128,桂浜水族館,カツラハマスイゾクカン,2,39,高知県高知市浦戸778,https://katurahama-aq.jp/
129,高知県立 足摺海洋館 SATOUMI,コウチケンリツ アシズリカイヨウカン サトウミ,2,39,高知県土佐清水市三崎字今芝4032,https://kaiyoukan.jp/index.html
130,到津の森公園,イトウヅノモリコウエン,1,40,福岡県北九州市小倉北区上到津4-1-8,https://www.itozu-zoo.jp/
131,福岡市 動植物園,フクオカシ ドウショクブツエン,1,40,福岡県福岡市中央区南公園1-1,https://zoo.city.fukuoka.lg.jp/
132,大牟田市 動物園,オオムタシ ドウブツエン,1,40,福岡県大牟田市昭和町163,https://omutacityzoo.org/
133,久留米市 鳥類センター,クルメシ チョウルイセンター,1,40,福岡県久留米市東櫛原町1667,http://kurumekoen.org/birdc/
134,国営海の中道海浜公園 動物の森,コクエイウミノナカミチカイヒンコウエン ドウブツノモリ,1,40,福岡県福岡市東区大字西戸崎18-25,https://uminaka-park.jp/animal/
